communityname,State,countyCode,communityCode,fold,pop,perHoush,pctBlack,pctWhite,pctAsian,pctHisp,pct12-21,pct12-29,pct16-24,pct65up,persUrban,pctUrban,medIncome,pctWwage,pctWfarm,pctWdiv,pctWsocsec,pctPubAsst,pctRetire,medFamIncome,perCapInc,whitePerCap,blackPerCap,NAperCap,asianPerCap,otherPerCap,hispPerCap,persPoverty,pctPoverty,pctLowEdu,pctNotHSgrad,pctCollGrad,pctUnemploy,pctEmploy,pctEmployMfg,pctEmployProfServ,pctOccupManu,pctOccupMgmt,pctMaleDivorc,pctMaleNevMar,pctFemDivorc,pctAllDivorc,persPerFam,pct2Par,pctKids2Par,pctKids-4w2Par,pct12-17w2Par,pctWorkMom-6,pctWorkMom-18,kidsBornNevrMarr,pctKidsBornNevrMarr,numForeignBorn,pctFgnImmig-3,pctFgnImmig-5,pctFgnImmig-8,pctFgnImmig-10,pctImmig-3,pctImmig-5,pctImmig-8,pctImmig-10,pctSpeakOnlyEng,pctNotSpeakEng,pctLargHousFam,pctLargHous,persPerOccupHous,persPerOwnOccup,persPerRenterOccup,pctPersOwnOccup,pctPopDenseHous,pctSmallHousUnits,medNumBedrm,houseVacant,pctHousOccup,pctHousOwnerOccup,pctVacantBoarded,pctVacant6up,medYrHousBuilt,pctHousWOphone,pctHousWOplumb,ownHousLowQ,ownHousMed,ownHousUperQ,ownHousQrange,rentLowQ,rentMed,rentUpperQ,rentQrange,medGrossRent,medRentpctHousInc,medOwnCostpct,medOwnCostPctWO,persEmergShelt,persHomeless,pctForeignBorn,pctBornStateResid,pctSameHouse-5,pctSameCounty-5,pctSameState-5,numPolice,policePerPop,policeField,policeFieldPerPop,policeCalls,policCallPerPop,policCallPerOffic,policePerPop2,racialMatch,pctPolicWhite,pctPolicBlack,pctPolicHisp,pctPolicAsian,pctPolicMinority,officDrugUnits,numDiffDrugsSeiz,policAveOT,landArea,popDensity,pctUsePubTrans,policCarsAvail,policOperBudget,pctPolicPatrol,gangUnit,pctOfficDrugUnit,policBudgetPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,nonViolPerPop,violentPerPop
Jacksonvillecity,AR,,,7,29101,2.95,16.99,79.42,2.3,2.3,15.64,34.53,16.69,5.38,29101,100.0,25009,86.23,0.64,32.39,16.43,4.62,18.15,28163,10337,11182,6917,7566,7128,7998.0,7963,3218,11.59,5.7,17.14,12.18,6.17,68.58,13.12,19.49,15.87,21.85,9.11,25.01,13.02,11.06,3.21,78.48,75.82,85.44,77.83,63.64,71.6,564,2.95,939,20.34,29.5,33.44,38.76,0.66,0.95,1.08,1.25,94.63,0.44,4.05,3.23,2.81,2.77,2.85,46.4,4.1,41.19,3,1036,90.49,47.11,0.97,30.02,1971,7.83,0.43,43100,55100,71200,28100,234,294,366,132,389,24.9,20.6,12.3,0,0,3.23,43.18,35.25,62.97,69.32,,,,,,,,,,,,,,,,,,20.4,1429.9,0.6,,,,,0.0,,3,10.01,17.0,56.75,48.0,160.23,179.0,597.52,278.0,928.0,1322.0,4412.99,107.0,357.18,12.0,40.06,5738.22,824.52
AgouraHillscity,CA,,,2,20390,3.08,1.17,90.13,6.85,6.1,15.82,24.89,11.47,3.61,20390,100.0,70919,90.14,0.75,53.94,10.53,1.58,6.73,76361,27539,28082,18932,30329,24560,16020.0,17461,718,3.53,1.6,7.13,44.15,3.61,74.64,11.71,23.43,4.4,44.57,6.95,26.64,11.58,9.34,3.37,86.68,86.65,91.45,87.03,52.78,65.2,61,0.54,2864,8.59,15.96,24.79,29.89,1.21,2.24,3.48,4.2,83.94,1.67,4.71,3.9,3.08,3.17,2.67,85.63,2.3,20.04,3,317,95.42,83.4,0.63,15.77,1979,0.0,0.1,280900,368400,497000,216100,792,935,1001,209,962,27.7,28.9,11.6,0,0,14.05,47.0,41.68,77.23,86.78,,,,,,,,,,,,,,,,,,8.5,2410.2,0.62,,,,,0.0,,0,0.0,2.0,7.85,10.0,39.23,82.0,321.68,145.0,568.83,278.0,1090.58,93.0,364.83,2.0,7.85,2032.09,368.76
Tamaraccity,FL,,,8,44822,1.96,2.31,95.96,0.89,5.44,5.29,14.64,6.73,44.41,44822,100.0,26703,51.4,0.33,54.87,61.12,3.32,23.59,31567,18012,18207,14211,5975,11321,10051.0,12623,2580,5.79,7.18,24.0,14.2,5.82,39.44,9.43,18.97,7.36,25.27,6.8,16.96,8.48,7.72,2.37,76.36,72.93,90.65,71.86,61.01,71.06,198,0.51,6075,5.76,9.83,12.53,17.65,0.78,1.33,1.7,2.39,84.55,1.68,0.96,0.61,1.94,1.91,2.08,76.73,1.51,81.47,2,3235,87.62,78.25,0.4,31.93,1978,0.86,0.16,63000,77600,99100,36100,496,557,644,148,633,29.3,23.3,12.4,0,1,13.55,8.6,47.15,72.91,77.64,,,,,,,,,,,,,,,,,,11.9,3765.3,0.69,,,,,0.0,,2,4.12,8.0,16.48,58.0,119.47,101.0,208.05,283.0,582.95,1278.0,2632.55,283.0,582.95,3.0,6.18,3804.64,348.12
Middletowncity,OH,17.0,49840.0,10,45991,2.51,10.98,88.31,0.43,0.45,13.04,25.96,12.62,13.15,45991,100.0,25735,71.98,0.31,34.96,30.5,9.92,20.94,31347,12992,13651,7976,4946,6644,8286.0,9166,7000,15.44,10.3,28.57,12.78,7.84,56.27,29.62,21.71,19.94,21.54,12.8,23.9,16.0,14.53,3.0,67.65,64.17,71.1,72.3,54.68,62.4,1425,3.75,435,4.83,7.59,10.8,21.61,0.05,0.07,0.1,0.2,96.89,0.59,4.01,2.83,2.48,2.58,2.33,62.41,2.18,50.81,2,1023,94.72,60.01,2.93,32.16,1957,8.1,0.27,42000,57600,79400,37400,211,280,357,146,376,26.1,17.6,12.9,24,0,0.95,70.57,52.48,83.91,93.41,,,,,,,,,,,,,,,,,,20.9,2201.1,0.82,,,,,0.0,,2,4.1,23.0,47.19,68.0,139.51,87.0,178.49,612.0,1255.62,1708.0,3504.24,111.0,227.73,21.0,43.08,5030.67,369.3
DelrayBeachcity,FL,,,2,47181,2.21,26.28,71.99,0.68,6.08,8.02,18.34,8.34,28.6,47181,100.0,31146,59.93,0.57,54.61,48.39,4.44,21.86,36191,21292,26432,7689,16552,17428,12301.0,10138,5307,11.35,9.78,25.41,21.52,7.2,48.53,7.3,21.0,8.72,26.09,10.13,25.62,12.17,11.22,2.7,61.66,53.95,71.78,67.55,69.24,73.42,2077,5.48,6745,13.89,30.36,40.33,54.83,1.99,4.34,5.77,7.84,82.75,4.53,5.06,3.19,2.19,2.15,2.3,68.88,5.26,72.68,2,6137,77.71,70.3,2.17,26.66,1975,4.25,0.3,65200,92900,150700,85500,390,513,637,247,599,28.6,24.2,12.9,0,12,14.3,21.92,49.44,74.32,80.69,,,,,,,,,,,,,,,,,,15.4,3070.1,0.99,,,,,0.0,,6,11.58,28.0,54.05,191.0,368.69,500.0,965.16,1338.0,2582.76,3897.0,7522.44,498.0,961.3,13.0,25.09,11091.59,1399.48
SanDimascity,CA,,,10,32397,2.96,3.77,81.7,8.56,17.32,14.8,26.1,13.03,8.38,32397,100.0,50268,83.5,0.14,45.48,16.95,5.8,12.22,55790,20246,20998,14637,18319,18802,15217.0,15577,1714,5.44,4.09,14.84,26.72,3.42,69.86,17.08,24.37,8.82,34.98,9.61,29.57,12.89,11.3,3.26,80.76,75.51,91.6,73.94,62.85,68.31,466,2.09,4815,9.49,16.84,27.98,33.62,1.41,2.5,4.16,5.0,78.63,2.89,6.41,4.91,2.86,2.93,2.64,77.97,4.48,33.91,3,531,95.37,76.18,1.13,20.34,1974,1.23,0.07,176200,242800,330400,154200,549,688,835,286,745,29.3,25.7,11.1,0,0,14.86,51.44,48.03,86.55,93.03,,,,,,,,,,,,,,,,,,16.1,2015.2,1.36,,,,,0.0,,0,0.0,7.0,19.54,47.0,131.2,163.0,455.0,322.0,898.84,641.0,1789.3,153.0,427.09,9.0,25.12,3140.35,605.74
Sweetwatercity,TX,,,1,11967,2.62,5.57,73.69,0.15,28.98,14.86,25.11,11.97,14.7,0,0.0,19157,70.65,2.29,27.47,34.87,8.36,11.19,23440,9210,10689,4548,6947,20000,4989.0,5067,2689,23.02,19.73,41.2,11.11,8.51,53.98,16.21,25.88,19.92,17.54,9.2,21.96,11.64,10.51,3.17,75.23,70.05,77.81,67.66,59.72,65.79,200,1.79,298,2.68,9.06,20.81,23.49,0.07,0.23,0.52,0.58,75.44,1.76,6.79,4.78,2.58,2.57,2.62,65.95,6.25,54.98,2,721,86.35,66.37,4.85,55.2,1956,13.7,0.64,15700,27200,44000,28300,125,198,259,134,282,27.9,18.6,13.6,0,0,2.49,84.15,53.48,79.79,96.69,,,,,,,,,,,,,,,,,,9.0,1329.7,0.58,,,,,0.0,,1,8.19,7.0,57.36,9.0,73.75,97.0,794.82,214.0,1753.52,451.0,3695.51,30.0,245.82,5.0,40.97,5735.82,934.12
Edinburgcity,TX,,,10,29885,3.53,0.47,74.25,0.44,85.89,20.1,34.33,18.31,8.18,29885,100.0,18956,78.48,1.31,21.5,24.56,18.87,7.38,20670,7474,8014,5366,115171,13221,5127.0,5979,9720,33.78,32.85,43.81,19.38,12.69,50.82,8.03,36.79,13.47,30.96,7.67,34.81,12.27,10.12,3.82,69.11,63.25,78.21,76.45,55.2,61.66,886,3.47,5517,17.26,27.06,32.34,43.81,3.19,5.0,5.97,8.09,19.82,16.81,15.98,12.91,3.39,3.49,3.26,58.95,20.01,52.8,2,732,92.05,57.33,3.14,30.87,1973,12.82,1.44,30100,44700,66700,36600,126,251,316,190,311,26.2,19.8,13.8,0,0,18.46,68.9,52.42,83.01,90.76,,,,,,,,,,,,,,,,,,14.6,2043.6,0.23,,,,,0.0,,2,5.38,7.0,18.83,40.0,107.63,134.0,360.55,452.0,1216.2,1760.0,4735.64,205.0,551.59,16.0,43.05,6546.48,492.4
ColonialHeightscity,VA,570.0,18448.0,2,16064,2.52,0.8,96.5,2.2,1.0,13.47,23.87,12.09,14.2,16064,100.0,34472,76.74,0.62,48.61,30.24,3.08,25.57,40929,15639,15702,9256,0,15658,6858.0,9323,905,5.71,8.71,22.19,16.69,3.93,63.21,16.23,20.39,11.62,26.65,8.68,23.59,12.48,10.73,2.93,77.6,74.85,92.57,76.38,70.63,74.09,83,0.66,670,7.61,9.25,20.3,22.99,0.32,0.39,0.85,0.96,93.63,0.46,2.0,1.49,2.49,2.54,2.35,73.68,0.88,31.9,3,229,96.53,72.15,0.44,25.76,1963,2.84,0.17,54000,71000,95300,41300,306,368,427,121,458,23.3,17.7,12.8,19,0,4.17,60.42,58.53,73.83,88.66,,,,,,,,,,,,,,,,,,7.7,2077.6,0.3,,,,,0.0,,0,0.0,6.0,36.12,15.0,90.3,18.0,108.36,88.0,529.74,718.0,4322.18,43.0,258.85,1.0,6.02,5116.78,234.77
Brookfieldtown,CT,1.0,8980.0,10,14113,2.86,0.72,97.22,1.69,1.56,13.48,24.16,11.38,7.48,10359,73.4,60054,87.14,1.19,63.17,19.31,1.72,13.14,65111,24277,24405,22693,8150,18775,16803.0,15661,333,2.36,3.02,9.47,41.24,4.14,71.79,23.75,23.28,7.18,39.3,5.65,27.06,8.62,7.16,3.22,89.27,88.19,97.4,87.08,56.34,67.87,46,0.5,1014,12.03,16.67,23.08,30.97,0.86,1.2,1.66,2.22,89.54,0.56,3.96,3.2,2.86,2.95,2.19,90.48,0.67,23.61,3,415,92.25,87.59,1.45,35.18,1969,0.32,0.11,181000,226800,295600,114600,614,767,930,316,880,24.6,24.4,13.9,5,0,7.18,36.74,54.82,78.05,80.04,,,,,,,,,,,,,,,,,,20.5,687.9,1.89,,,,,0.0,,0,0.0,0.0,0.0,1.0,6.98,7.0,48.86,58.0,404.86,276.0,1926.57,16.0,111.69,1.0,6.98,2450.09,55.84
WestWindsortownship,NJ,21.0,80240.0,6,16021,2.99,2.58,81.9,14.72,2.66,13.83,23.64,10.55,5.2,0,0.0,76907,91.29,1.78,67.05,11.58,2.52,8.49,82978,30761,32707,14091,5000,22192,19972.0,18800,531,3.32,2.23,6.0,65.87,2.85,70.19,14.46,33.45,2.82,55.1,3.6,25.84,5.2,4.41,3.34,93.55,92.58,97.09,93.37,43.76,59.41,37,0.39,2438,14.85,24.0,34.78,43.89,2.26,3.65,5.29,6.68,80.21,2.11,4.01,3.32,2.98,3.17,2.4,80.83,1.62,28.07,4,466,92.01,76.17,0.21,20.6,1983,0.54,0.36,218900,282100,352300,133400,500,776,982,482,814,22.3,24.6,13.7,5,0,15.22,32.53,37.7,50.71,68.09,,,,,,,,,,,,,,,,,,26.9,594.6,17.87,,,,,0.0,,1,6.07,1.0,6.07,7.0,42.51,8.0,48.58,43.0,261.14,270.0,1639.74,122.0,740.92,0.0,0.0,2641.81,103.24
Alamedacity,CA,,,3,76459,2.63,6.72,69.91,19.25,9.09,12.98,29.22,15.31,10.55,76459,100.0,38122,79.87,0.6,50.91,20.86,5.98,17.14,44687,19833,22162,12610,20871,15217,12398.0,12964,4662,6.81,4.09,11.89,31.26,3.53,71.08,11.28,24.91,8.92,36.28,10.82,37.72,16.09,13.3,3.02,71.07,70.29,84.95,71.5,67.08,71.77,1219,2.84,13172,12.97,21.36,33.04,41.02,2.23,3.68,5.69,7.07,77.04,3.41,4.78,2.91,2.36,2.46,2.28,48.16,6.39,63.06,2,1442,95.28,46.28,0.69,17.41,1955,1.41,0.41,209800,267600,356200,146400,517,632,747,230,676,27.0,26.1,11.3,35,0,17.23,41.47,40.05,64.3,77.54,,,,,,,,,,,,,,,,,,11.1,6865.9,14.46,,,,,0.0,,1,1.26,26.0,32.88,239.0,302.28,208.0,263.07,769.0,972.59,3278.0,4145.85,479.0,605.82,46.0,58.18,5782.44,599.49
Vermilioncity,OH,,,3,11127,2.8,0.08,99.14,0.24,1.33,14.72,25.34,11.93,9.95,11127,100.0,37500,81.76,0.0,45.85,24.52,5.26,20.14,41156,14710,14716,0,18404,11741,4000.0,13641,937,8.54,5.48,19.1,16.87,4.74,64.3,28.87,22.66,19.26,22.96,8.67,23.61,10.32,9.52,3.19,83.28,79.61,87.85,90.12,67.88,70.04,59,0.71,293,3.07,9.9,14.68,17.41,0.08,0.26,0.39,0.46,96.32,0.31,4.63,3.6,2.77,2.89,2.44,76.46,1.74,32.04,3,393,91.0,73.33,1.27,70.99,1963,1.59,0.48,48400,64000,87900,39500,280,345,404,124,449,23.6,16.9,11.1,0,0,2.63,67.17,60.13,77.82,93.61,,,,,,,,,,,,,,,,,,11.1,1004.2,0.13,,,,,0.0,,0,0.0,3.0,26.28,1.0,8.76,4.0,35.04,30.0,262.79,248.0,2172.39,11.0,96.36,0.0,0.0,2531.53,70.08
Cantontown,MA,21.0,11315.0,10,18530,2.81,1.28,97.13,1.21,0.81,13.3,26.38,13.29,12.47,16778,90.55,53492,84.48,0.99,53.69,27.7,3.69,18.57,62471,22035,21919,21538,0,37739,18107.0,12586,435,2.39,3.28,9.89,32.68,5.0,66.41,15.28,25.86,5.48,37.25,4.9,33.46,7.34,6.19,3.28,85.97,84.5,95.88,87.87,67.16,73.28,96,0.68,950,0.0,5.16,6.74,10.11,0.0,0.26,0.35,0.52,93.88,0.84,5.96,4.42,2.76,3.01,2.04,81.5,0.76,34.97,3,184,97.29,74.91,5.43,35.33,1962,0.0,0.0,167800,204100,262800,95000,305,620,743,438,690,24.0,20.2,12.8,0,0,5.13,82.1,69.85,86.35,95.53,,,,,,,,,,,,,,,,,,19.6,944.5,9.12,,,,,0.0,,0,0.0,0.0,0.0,5.0,26.63,20.0,106.51,108.0,575.17,235.0,1251.53,58.0,308.89,0.0,0.0,2135.59,133.14
Coventrytown,RI,3.0,18640.0,6,31083,2.78,0.26,99.0,0.37,0.84,13.45,24.46,11.2,11.74,24720,79.53,37230,79.53,0.2,44.09,27.84,5.06,18.02,41883,14566,14614,8314,15049,17577,7576.0,7450,1483,4.85,9.2,25.57,14.17,5.7,66.47,25.44,18.75,16.35,21.05,7.8,25.95,10.14,9.02,3.18,83.82,81.05,88.28,86.08,63.48,72.99,282,1.25,882,3.4,3.4,9.07,14.06,0.1,0.1,0.26,0.4,92.54,0.81,4.2,3.21,2.73,2.88,2.13,84.71,1.22,37.8,3,599,94.92,80.34,1.0,57.26,1965,0.98,0.14,106900,128400,158400,51500,284,433,545,261,485,27.4,23.0,14.0,0,0,2.84,78.18,65.61,86.75,94.86,,,,,,,,,,,,,,,,,,61.7,503.9,0.65,,,,,0.0,,0,0.0,4.0,12.83,1.0,3.21,34.0,109.03,180.0,577.2,509.0,1632.19,37.0,118.65,16.0,51.31,2379.35,125.06
FortWorthcity,TX,,,2,447619,2.66,22.01,63.79,1.99,19.51,13.84,30.16,14.44,10.07,447157,99.9,26547,80.04,0.83,34.15,23.25,6.18,13.58,30967,13162,16405,7583,10603,11064,6401.0,6956,75597,17.42,12.39,28.38,21.47,7.43,61.85,21.48,21.2,16.43,25.67,13.32,31.15,16.63,15.02,3.22,68.71,62.53,79.11,70.5,60.06,67.32,15913,4.94,40300,14.26,22.64,34.3,52.22,1.28,2.04,3.09,4.7,80.59,4.82,7.84,5.2,2.58,2.7,2.43,57.17,7.88,58.08,2,26155,86.55,54.53,13.05,44.66,1964,9.28,0.58,39400,59900,86900,47500,268,337,415,147,403,24.6,21.4,13.1,884,347,9.0,64.49,45.85,80.21,89.38,,,,,,,,,,,,,,,,,,291.2,1537.2,1.65,,,,,0.0,,133,28.89,507.0,110.14,2750.0,597.41,3589.0,779.67,10505.0,2282.1,26310.0,5715.58,6007.0,1304.96,419.0,91.02,9393.66,1516.12
Tylercity,TX,,,10,75450,2.57,28.17,66.12,0.51,8.91,15.38,28.48,14.9,12.94,75450,100.0,23661,75.06,0.9,35.1,29.04,7.19,13.93,30459,13400,16629,7041,8423,13328,6784.0,6445,14251,19.53,9.69,22.95,24.74,8.08,57.34,14.46,28.69,14.93,27.99,10.51,29.33,15.13,13.0,3.13,68.69,64.63,76.66,74.46,57.23,66.46,2381,4.12,4027,14.06,33.87,43.66,56.99,0.75,1.81,2.33,3.04,90.06,2.54,6.29,4.16,2.49,2.6,2.36,55.24,5.55,52.75,2,3479,89.41,52.8,3.85,43.49,1966,9.56,0.51,38500,60000,89300,50800,225,300,374,149,366,26.9,18.8,13.2,10,4,5.34,72.84,48.43,77.43,92.79,138.0,168.9,93.0,113.83,24178.0,29592.2,175.2,168.9,70.47,95.65,4.35,0.0,0.0,4.35,6.0,7.0,162.1,41.1,1836.7,0.33,53.0,5771720.0,67.39,5.0,4.35,70641.8,9,11.02,100.0,122.39,229.0,280.28,595.0,728.24,1797.0,2199.4,5389.0,6595.76,528.0,646.24,35.0,42.84,9484.24,1141.93
Kelsocity,WA,,,9,11820,2.55,0.34,94.54,1.1,3.49,15.29,28.15,13.87,11.0,11820,100.0,23887,73.54,0.0,30.39,25.73,13.66,15.88,28750,10718,10911,8542,8704,2095,9258.0,8604,2334,20.43,9.99,27.43,8.56,10.15,52.87,24.42,19.61,23.71,15.84,15.51,27.71,18.98,17.28,3.02,63.74,60.52,58.34,70.07,43.61,53.47,552,5.42,362,13.26,32.6,34.25,41.71,0.41,1.0,1.05,1.28,94.32,1.25,4.48,3.08,2.49,2.53,2.44,54.03,5.2,55.85,2,235,95.18,53.12,6.38,42.55,1953,8.48,1.44,36200,48400,67100,30900,202,266,327,125,317,25.0,15.9,12.0,3,0,3.06,52.72,46.15,78.41,86.6,,,,,,,,,,,,,,,,,,8.0,1477.5,0.34,,,,,0.0,,0,0.0,30.0,241.06,17.0,136.6,45.0,361.59,191.0,1534.75,751.0,6034.55,62.0,498.19,11.0,88.39,8155.89,739.25
Daltoncity,GA,,,8,21761,2.49,10.65,83.43,1.02,6.53,14.88,29.54,15.55,11.84,0,0.0,24517,79.49,0.4,31.45,26.24,6.75,9.64,30812,15284,16251,9510,6500,46617,6602.0,7906,3122,14.76,20.61,38.15,20.04,5.78,64.46,43.15,16.12,26.93,24.43,13.88,29.29,17.41,15.73,3.01,66.86,62.83,77.44,75.71,67.56,74.53,340,1.94,1166,30.02,50.77,58.83,70.58,1.61,2.72,3.15,3.78,91.68,3.07,4.49,3.0,2.42,2.47,2.38,46.51,4.28,57.92,2,822,91.4,45.67,1.34,23.97,1970,14.37,0.49,44000,67500,117300,73300,209,294,365,156,355,22.3,16.7,12.5,49,1,5.36,62.52,43.73,74.58,82.78,,,,,,,,,,,,,,,,,,18.6,1167.7,0.16,,,,,0.0,,0,0.0,10.0,43.78,13.0,56.92,113.0,494.72,211.0,923.78,1105.0,4837.79,126.0,551.64,8.0,35.02,6348.23,595.42
ChulaVistacity,CA,,,10,135163,2.83,4.6,67.74,8.93,37.27,14.16,29.21,14.27,10.62,135163,100.0,32012,78.8,0.31,37.19,24.07,10.11,21.27,36655,14102,15624,12032,11734,13329,9353.0,9897,13036,9.8,9.55,24.31,17.65,6.08,61.59,14.75,21.27,11.04,27.14,10.37,29.66,14.97,12.74,3.26,73.5,68.32,82.24,75.27,54.89,62.97,2372,2.39,30152,14.39,21.52,29.23,36.28,3.21,4.8,6.52,8.09,61.07,6.83,8.11,5.92,2.79,2.92,2.64,55.86,10.86,56.75,2,2025,95.94,53.29,1.04,10.81,1970,1.96,0.34,129400,164000,209700,80300,446,540,651,205,592,29.5,24.7,11.3,0,14,22.31,38.69,43.07,78.69,85.13,,,,,,,,,,,,,,,,,,30.0,4500.6,4.49,,,,,0.0,,14,9.33,37.0,24.67,459.0,305.99,573.0,381.99,1895.0,1263.29,4726.0,3150.56,2466.0,1643.95,64.0,42.67,6100.46,721.98
WhitefishBayvillage,WI,79.0,86700.0,7,14272,2.62,0.5,97.77,1.44,1.18,10.52,18.06,7.43,12.65,14272,100.0,53539,80.91,1.59,69.56,25.05,2.41,14.61,61180,27040,27000,17289,41150,32474,17000.0,13483,164,1.15,1.31,4.46,61.25,1.96,68.3,12.66,38.74,2.18,57.84,3.82,20.85,8.59,6.41,3.06,87.05,88.34,98.99,80.56,56.9,67.56,40,0.39,729,26.75,28.81,31.69,36.21,1.37,1.47,1.62,1.85,93.43,0.96,3.13,2.4,2.62,2.74,2.0,87.81,0.48,25.82,3,99,98.21,84.01,0.0,20.2,1943,0.22,0.34,92700,120000,160500,67800,469,553,598,129,605,22.3,21.1,14.1,0,0,5.11,61.4,61.04,80.36,87.27,,,,,,,,,,,,,,,,,,2.2,6430.0,2.4,,,,,0.0,,0,0.0,0.0,0.0,3.0,21.16,2.0,14.1,36.0,253.88,286.0,2016.93,18.0,126.94,0.0,0.0,2397.74,35.26
MichiganCitycity,IN,,,6,33822,2.69,22.54,75.77,0.67,1.76,13.81,27.35,13.08,12.56,0,0.0,23127,76.06,0.26,33.54,32.03,7.07,15.7,28141,10868,12070,7098,7334,8000,8038.0,8920,5154,16.41,9.71,30.88,9.43,7.88,55.93,32.66,19.15,24.72,17.62,14.65,33.42,16.06,15.37,3.13,62.08,57.64,69.72,62.31,67.47,75.04,1789,6.43,674,2.97,5.64,13.95,19.14,0.06,0.11,0.28,0.38,94.16,0.74,6.47,4.28,2.51,2.64,2.32,62.85,3.14,51.04,2,1433,89.76,59.82,7.68,40.27,1954,8.2,0.33,33600,43700,57800,24200,207,272,342,135,363,25.9,18.1,14.4,0,0,1.99,67.64,57.65,87.23,92.92,,,,,,,,,,,,,,,,,,20.3,1665.8,1.73,,,,,0.0,,4,11.7,22.0,64.33,92.0,269.01,109.0,318.72,424.0,1239.8,1677.0,4903.65,364.0,1064.36,7.0,20.47,7228.28,663.76
Bricktownship,NJ,29.0,7420.0,1,66473,2.66,0.63,97.81,0.83,2.58,12.06,23.58,10.75,15.97,66473,100.0,38742,73.79,0.39,48.04,34.09,3.6,22.5,44680,16523,16562,9763,14924,17930,14351.0,13815,2470,3.74,5.59,20.23,16.51,5.55,60.08,12.53,21.8,11.95,24.31,6.22,25.37,9.0,7.69,3.1,84.22,82.61,92.92,84.33,54.19,64.45,502,1.03,3133,5.52,11.78,14.11,16.69,0.26,0.56,0.66,0.79,92.48,0.85,4.06,3.08,2.65,2.69,2.46,83.83,1.31,44.45,3,3878,86.55,82.54,0.72,60.24,1972,0.67,0.16,105300,133100,166800,61500,509,604,725,216,721,32.6,25.7,17.4,17,0,4.71,71.99,61.13,77.21,94.05,,,,,,,,,,,,,,,,,,27.2,2441.0,1.75,,,,,0.0,,2,2.92,9.0,13.15,28.0,40.9,51.0,74.5,415.0,606.2,1214.0,1773.32,98.0,143.15,14.0,20.45,2543.13,131.47
FortPaynecity,AL,,,7,11838,2.48,4.81,93.57,0.39,0.46,13.58,25.18,11.79,14.17,0,0.0,20518,71.66,1.22,24.38,32.9,7.43,12.6,26243,10906,11215,6268,8826,10010,3550.0,3550,1641,14.07,18.04,40.87,10.8,3.72,60.32,47.12,14.08,36.62,17.39,10.95,19.63,14.39,12.83,2.96,75.39,73.11,86.51,78.12,69.21,77.96,164,1.66,59,10.17,69.49,69.49,69.49,0.05,0.35,0.35,0.35,98.36,0.33,2.63,1.88,2.45,2.51,2.31,70.9,2.03,42.41,3,461,91.2,69.17,0.87,46.42,1967,10.74,0.67,31200,46400,68100,36900,118,187,260,142,287,23.8,18.8,13.3,0,0,0.5,75.13,56.5,87.94,92.02,,,,,,,,,,,,,,,,,,56.0,211.5,0.25,,,,,0.0,,0,0.0,2.0,15.55,1.0,7.78,7.0,54.44,62.0,482.19,477.0,3709.75,21.0,163.32,,,,77.77
Warwicktownship,PA,71.0,81168.0,9,11622,2.93,0.17,98.67,0.69,0.92,13.05,24.37,10.54,8.14,3244,27.91,41338,88.15,2.09,61.33,20.83,1.86,10.79,43575,15044,15049,16962,11571,16507,0.0,20642,310,2.69,8.77,22.37,19.43,2.44,74.05,29.01,19.22,20.01,24.26,5.67,21.24,6.94,6.32,3.21,89.58,88.42,97.09,90.48,61.1,74.01,56,0.73,170,10.0,15.29,15.29,18.82,0.15,0.22,0.22,0.28,95.53,0.21,4.23,3.55,2.91,2.95,2.7,84.67,0.96,22.05,3,107,97.38,83.48,1.87,38.32,1974,0.91,0.61,84500,104700,132800,48300,305,391,484,179,492,21.6,20.5,11.3,0,0,1.46,82.73,57.74,84.51,93.04,,,,,,,,,,,,,,,,,,20.8,559.7,0.33,,,,,0.0,,0,0.0,0.0,0.0,0.0,0.0,2.0,16.92,2.0,16.92,58.0,490.78,1.0,8.46,0.0,0.0,516.16,16.92
Herculescity,CA,,,10,16829,3.17,12.78,39.81,43.31,10.45,13.76,24.66,10.4,4.26,16829,100.0,56098,94.82,0.45,50.35,7.45,4.63,8.85,57808,18948,21837,19592,15390,16455,15469.0,14488,353,2.1,3.93,9.73,34.73,4.37,76.77,11.26,21.64,8.8,33.39,6.57,26.16,10.18,8.44,3.53,86.71,83.14,93.86,88.38,77.21,83.96,39,0.37,5242,8.62,15.19,26.63,36.46,2.69,4.73,8.3,11.36,59.71,4.56,9.46,7.69,3.17,3.16,3.25,86.9,7.87,35.54,3,344,93.91,87.25,0.58,15.41,1985,0.28,0.5,169600,224100,277000,107400,759,880,1001,242,983,26.8,27.7,12.4,0,1,31.15,47.75,37.51,61.82,91.39,,,,,,,,,,,,,,,,,,5.7,2933.9,6.35,,,,,0.0,,1,5.07,1.0,5.07,8.0,40.58,54.0,273.93,93.0,471.77,233.0,1181.96,88.0,446.41,3.0,15.22,2115.36,324.66
